name	status	version
akismet	active	5.7
church-theme-content	active	2.7
church-content-pro	active	1.3
youtube-embed-plus	inactive	14.2.6
firstchurch-connection-card	active	0.1.0
hello	inactive	1.7.2
wp-maintenance-mode	active	2.6.22
loginizer	active	2.0.8
mcp-adapter	active	0.5.0
redirection	active	5.7.5
google-site-kit	active	1.179.0
updraftplus	active	1.26.4
utm-event-tracker-and-analytics	active	1.2.0
widget-importer-exporter	active	1.6.1
wordpress-importer	inactive	0.9.5
wp-statistics	inactive	14.16.8
wordpress-seo	active	27.6
wp-youtube-live	active	1.10.1
endurance-page-cache	must-use	2.2.2
firstchurch-mcp-abilities	must-use	0.6.0
sso	must-use	0.5
